,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,58.5,4,0,0,,
1,58.75,4,0.25,0,,
2,62.5,4,3.75,0,,
3,62.75,4,0.25,0,,
4,65.25,4,2.5,0,,
5,64.75,4,-0.5,0,,
6,67.5,4,2.75,0,,
7,70.75,4,3.25,0,,
8,68.6,5,-2.150001526,1,,
9,68.25,4,-0.349998474,-1,,
10,68.2,5,-0.050003052,1,,
11,67.75,4,-0.449996948,-1,,
12,63.8,5,-3.950000763,1,,
13,62.25,4,-1.549999237,-1,,
14,56.2,5,-6.049999237,1,,
15,55.75,4,-0.450000763,-1,1,
16,58.5,4,2.75,0,,1
17,58.75,4,0.25,0,,
18,62.5,4,3.75,0,,
19,62.75,4,0.25,0,,
20,65.25,4,2.5,0,,
21,64.75,4,-0.5,0,,
22,67.5,4,2.75,0,,
23,70.75,4,3.25,0,,
24,69.8,5,-0.949996948,1,,
25,68.25,4,-1.550003052,-1,,
26,64.4,5,-3.849998474,1,,
27,64.5,4,0.099998474,-1,,
28,58.4,5,-6.099998474,1,,
29,56.25,4,-2.150001526,-1,,
30,52.4,5,-3.849998474,1,,
31,52.5,4,0.099998474,-1,1,
32,66.333336,3,13.83333588,-1,,1
33,72,2,5.666664124,-1,,
34,68.333336,6,-3.666664124,4,,
35,71,1,2.666664124,-5,,
36,65,3,-6,2,,
37,70,2,5,-1,,
38,69,4,-1,2,,
39,71,1,2,-3,,
40,66.333336,3,-4.666664124,2,,
41,72,2,5.666664124,-1,,
42,72.25,4,0.25,2,,
43,71,1,-1.25,-3,,
44,65,3,-6,2,,
45,70,2,5,-1,,
46,69,4,-1,2,,
47,71,1,2,-3,1,
48,64.5,4,-6.5,3,,1
49,64,4,-0.5,0,,
50,64,5,0,1,,
51,65,1,1,-4,,
52,63.25,4,-1.75,3,,
53,63.25,4,0,0,,
54,63.875,8,0.625,4,,
55,64.5,4,0.625,-4,,
56,64.5,4,0,0,,
57,64,4,-0.5,0,,
58,64,5,0,1,,
59,65,1,1,-4,,
60,63.25,4,-1.75,3,,
61,63.25,4,0,0,,
62,63.875,8,0.625,4,,
63,64.5,4,0.625,-4,1,
