,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,,
0,61.666668,3,0,0,,
1,70,1,8.333332062,-2,,
2,62.666668,3,-7.333332062,2,,
3,69,1,6.333332062,-2,,
4,65.666664,3,-3.333335876,2,,
5,77,1,11.33333588,-2,,
6,62.666668,3,-14.33333206,2,,
7,77,1,14.33333206,-2,,
8,61.666668,3,-15.33333206,2,,
9,70,1,8.333332062,-2,,
10,62.666668,3,-7.333332062,2,,
11,69,1,6.333332062,-2,,
12,65.666664,3,-3.333335876,2,,
13,77,1,11.33333588,-2,,
14,62.666668,3,-14.33333206,2,,
15,77,1,14.33333206,-2,1,
16,58.25,4,-18.75,3,,1
17,67,2,8.75,-2,,
18,57.25,4,-9.75,2,,
19,67,2,9.75,-2,,
20,58.25,4,-8.75,2,,
21,67,2,8.75,-2,,
22,57.5,4,-9.5,2,,
23,67,2,9.5,-2,,
24,58.75,4,-8.25,2,,
25,56.875,8,-1.875,4,,
26,55.25,4,-1.625,-4,,
27,55.375,8,0.125,4,,
28,55.25,4,-0.125,-4,,
29,59.5,4,4.25,0,,
30,54.75,4,-4.75,0,,
31,54.75,0,0,-4,1,
32,51.6,5,-3.150001526,5,,1
33,53.333332,3,1.733333588,-2,,
34,50.75,4,-2.583332062,1,,
35,54.333332,3,3.583332062,-1,,
36,52,4,-2.333332062,1,,
37,55,3,3,-1,,
38,53,4,-2,1,,
39,55.666668,3,2.666667938,-1,,
40,54,4,-1.666667938,1,,
41,56.333332,3,2.333332062,-1,,
42,55,4,-1.333332062,1,,
43,57.666668,3,2.666667938,-1,,
44,56.5,4,-1.166667938,1,,
45,58.666668,3,2.166667938,-1,,
46,66.5,2,7.833332062,-1,,
47,66.5,0,0,-2,1,
48,51.6,5,-14.90000153,5,,1
49,53.333332,3,1.733333588,-2,,
50,50.75,4,-2.583332062,1,,
51,54.333332,3,3.583332062,-1,,
52,52,4,-2.333332062,1,,
53,55,3,3,-1,,
54,53,4,-2,1,,
55,55.666668,3,2.666667938,-1,,
56,56,4,0.333332062,1,,
57,57.666668,3,1.666667938,-1,,
58,55,4,-2.666667938,1,,
59,57,3,2,-1,,
60,54,4,-3,1,,
61,56.333332,3,2.333332062,-1,,
62,53,4,-3.333332062,1,,
63,55.666668,3,2.666667938,-1,,
