,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,60,9,0,0,0,1,0
1,64.3,10,4.300003052,1,0,0,1
2,65.375,8,1.074996948,-2,0,0,0
3,68,8,2.625,0,0,1,1
4,59.375,8,-8.625,0,0,0,0
5,60.285713,7,0.910713196,-1,0,0,0
6,65,3,4.714286804,-4,0,1,1
7,70,2,5,-1,0,3,0
8,62.5,4,-7.5,2,0,1,0
9,63.42857,7,0.928569794,3,0,2,1
10,65.25,4,1.821430206,-3,0,1,1
11,64.75,4,-0.5,0,0,0,1
12,60.8,10,-3.950000763,6,0,1,0
13,62.9,10,2.100002289,0,0,1,0
14,70,5,7.099998474,-5,0,0,2
15,71.166664,6,1.166664124,1,0,1,1
16,63.25,4,-7.916664124,-2,0,0,1
17,63.25,4,0,0,0,3,0
18,56.2,5,-7.049999237,1,0,1,1
19,55.75,4,-0.450000763,-1,0,0,1
20,62.25,4,6.5,0,1,0,1
21,60.5,4,-1.75,0,0,0,1
22,69.4,5,8.900001526,1,0,0,2
23,67,6,-2.400001526,1,0,0,1
24,62,4,-5,-2,0,3,3
25,61.4,5,-0.599998474,1,0,0,1
26,67.166664,6,5.766662598,1,0,0,1
27,70,6,2.833335876,0,0,2,1
28,64.5,4,-5.5,-2,0,1,1
29,64,4,-0.5,0,0,1,0
30,58.75,4,-5.25,0,0,1,2
31,58.75,0,0,-4,0,2,0
32,66.333336,3,7.583335876,3,0,1,1
33,72,2,5.666664124,-1,0,0,0
34,61.8,10,-10.20000076,8,0,3,0
35,64.7,10,2.899997711,0,0,0,1
36,68.2,5,3.5,-5,0,1,1
37,67.75,4,-0.449996948,-1,0,1,1
38,57.75,8,-10,4,0,1,1
39,59.142857,7,1.392856598,-1,0,0,2
40,56.75,4,-2.392856598,-3,0,1,0
41,58.125,8,1.375,4,0,0,0
42,66.333336,3,8.208335876,-5,0,1,1
43,72,2,5.666664124,-1,0,0,2
44,66.333336,6,-5.666664124,4,0,1,1
45,70,6,3.666664124,0,0,1,0
46,68,8,-2,2,0,0,1
47,72.8,5,4.800003052,-3,0,0,0
48,53.5,4,-19.30000305,-1,1,2,1
49,54.857143,7,1.357143402,3,0,0,1
50,58.75,4,3.892856598,-3,0,0,0
51,58.75,0,0,-4,0,0,0
52,68.333336,6,9.583335876,6,0,0,2
53,71,1,2.666664124,-5,0,3,0
54,66.4,5,-4.599998474,4,0,0,0
55,64,5,-2.400001526,0,0,1,2
56,60.8,10,-3.200000763,5,0,0,1
57,62.9,10,2.100002289,0,0,1,0
58,57.333332,6,-5.566669464,-4,0,0,2
59,56.5,4,-0.833332062,-2,0,0,0
