,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,67.666664,6,0,0,0,1,1
1,69.333336,6,1.666671753,0,0,0,0
2,65,3,-4.333335876,-3,0,1,2
3,70,2,5,-1,0,1,0
4,62.25,8,-7.75,6,0,0,2
5,62.25,8,0,0,0,1,1
6,60.75,4,-1.5,-4,0,0,0
7,60.75,0,0,-4,0,0,0
8,59.375,8,-1.375,8,0,1,3
9,60,7,0.625,-1,0,0,0
10,64.5,4,4.5,-3,0,1,2
11,64,4,-0.5,0,0,1,1
12,67.166664,6,3.166664124,2,0,1,1
13,70,6,2.833335876,0,0,1,1
14,61.2,10,-8.799999237,4,0,0,2
15,63.6,10,2.399997711,0,0,1,0
16,59.5,4,-4.099998474,-6,0,0,1
17,58.75,4,-0.75,0,0,0,1
18,67.666664,6,8.916664124,2,0,2,1
19,69.333336,6,1.666671753,0,0,4,1
20,63.8,5,-5.533336639,-1,0,0,2
21,62.25,4,-1.549999237,-1,0,2,0
22,68.333336,6,6.083335876,2,0,0,2
23,71,1,2.666664124,-5,0,0,0
24,66.166664,6,-4.833335876,5,0,0,1
25,71,1,4.833335876,-5,0,0,0
26,62.5,4,-8.5,3,1,1,2
27,62.75,4,0.25,0,0,0,1
28,59.5,10,-3.25,6,0,1,3
29,62.3,10,2.799999237,0,0,2,2
30,63.875,8,1.575000763,-2,0,2,4
31,64.5,4,0.625,-4,0,0,0
32,60.75,4,-3.75,0,0,0,2
33,60.75,0,0,-4,0,0,0
34,64.4,5,3.650001526,5,1,1,0
35,64.5,4,0.099998474,-1,0,0,2
36,64,5,-0.5,1,0,0,2
37,65,1,1,-4,0,0,0
38,61.5,4,-3.5,3,0,0,1
39,60.25,4,-1.25,0,0,0,1
40,60.75,4,0.5,0,0,0,0
41,60.75,0,0,-4,0,1,1
42,66.666664,6,5.916664124,6,0,0,2
43,70.75,4,4.083335876,-2,0,3,3
44,58.4,5,-12.34999847,1,1,1,2
45,56.25,4,-2.150001526,-1,0,0,0
46,60,9,3.75,5,0,0,0
47,64.3,10,4.300003052,1,0,0,1
48,67.5,4,3.199996948,-6,0,1,3
49,70.75,4,3.25,0,0,1,0
50,59.5,10,-11.25,6,0,0,0
51,62.3,10,2.799999237,0,0,1,1
52,60.75,8,-1.549999237,-2,0,0,2
53,60.75,8,0,0,0,0,0
54,60.2,10,-0.549999237,2,0,2,1
55,62.2,10,2,0,0,1,0
56,69.4,5,7.200000763,-5,0,0,1
57,67,6,-2.400001526,1,0,0,1
58,52.4,5,-14.59999847,-1,0,1,1
59,52.5,4,0.099998474,-1,0,0,2
60,59.375,8,6.875,4,1,1,2
61,60.285713,7,0.910713196,-1,0,1,1
62,67.666664,6,7.380950928,-1,0,1,1
63,69.333336,6,1.666671753,0,0,0,0
