,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,67.75,4,0,0,0,0,0
1,74,1,6.25,-3,0,0,1
2,57.25,4,-16.75,3,0,1,0
3,67,2,9.75,-2,0,0,0
4,68.5,8,1.5,6,0,0,1
5,68.75,4,0.25,-4,0,1,2
6,61.666668,3,-7.083332062,-1,0,0,1
7,70,1,8.333332062,-2,0,3,0
8,68.875,8,-1.125,7,0,1,1
9,66.25,8,-2.625,0,0,2,1
10,62.666668,3,-3.583332062,-5,0,0,0
11,77,1,14.33333206,-2,0,1,0
12,68,3,-9,2,0,0,0
13,72,2,4,-1,0,2,4
14,58.666668,3,-13.33333206,1,0,4,1
15,58.666668,0,0,-3,0,0,1
16,71.2,5,12.53332901,5,1,1,2
17,69,2,-2.199996948,-3,0,4,0
18,64.6,5,-4.400001526,3,1,0,2
19,69,2,4.400001526,-3,0,1,1
20,65.666664,3,-3.333335876,1,0,0,0
21,77,1,11.33333588,-2,0,2,0
22,64.6,5,-12.40000153,4,0,0,0
23,69,2,4.400001526,-3,0,1,0
24,73.666664,3,4.666664124,1,0,0,1
25,55,1,-18.66666412,-2,0,0,1
26,55.25,4,0.25,3,0,2,4
27,55.375,8,0.125,4,0,1,0
28,55.2,5,-0.174999237,-3,0,0,0
29,56.333332,3,1.133331299,-2,0,2,0
30,58.666668,3,2.333335876,0,0,2,2
31,58.666668,0,0,-3,0,0,0
32,58.666668,3,0,3,1,0,1
33,63,1,4.333332062,-2,0,0,0
34,54.75,4,-8.25,3,0,0,1
35,58.75,4,4,0,0,1,0
36,54.4,5,-4.349998474,1,0,0,2
37,55.666668,3,1.266666412,-2,0,3,2
38,68.6,5,12.93333054,2,0,1,2
39,70,2,1.400001526,-3,0,3,1
40,67.75,4,-2.25,2,0,0,0
41,74,1,6.25,-3,0,0,0
42,63,2,-11,1,0,1,1
43,63,0,0,-2,0,1,0
44,65,3,2,3,1,3,1
45,65,0,0,-3,0,0,3
46,73,6,8,6,0,0,1
47,73.5,4,0.5,-2,0,3,3
48,65.333336,3,-8.166664124,-1,1,0,0
49,70,1,4.666664124,-2,0,0,1
50,53.5,4,-16.5,3,0,1,1
51,53.5,0,0,-4,0,4,1
52,64,8,10.5,8,1,1,1
53,63.5,4,-0.5,-4,0,2,1
54,60.75,8,-2.75,4,0,0,1
55,58,8,-2.75,0,0,0,2
56,56,5,-2,-3,0,0,0
57,57.666668,3,1.666667938,-2,0,0,1
58,61.666668,3,4,0,0,0,0
59,70,1,8.333332062,-2,0,0,0
60,57.6,5,-12.40000153,4,0,0,1
61,58.666668,3,1.066669464,-2,0,0,0
62,76,2,17.33333206,-1,0,0,0
63,71.333336,3,-4.666664124,1,0,0,2
