,pitch_change,rhythm_change,boundaries,n_M_resp,n_NM_resp
127,0.25,-4.0,0.0,1.0,0.0
128,-9.75,0.0,0.0,3.0,5.0
129,-0.5,0.0,0.0,2.0,3.0
130,0.16666793823242188,-1.0,0.0,0.0,1.0
131,0.0,-3.0,0.0,0.0,0.0
132,-3.4666671752929688,5.0,1.0,0.0,0.0
133,1.133331298828125,-2.0,0.0,3.0,1.0
134,-1.3333320617675781,1.0,0.0,0.0,0.0
135,2.666667938232422,-1.0,0.0,0.0,1.0
136,5.833332061767578,-1.0,0.0,0.0,3.0
137,-9.0,0.0,0.0,4.0,0.0
138,8.0,0.0,0.0,2.0,1.0
139,-7.5,0.0,0.0,0.0,1.0
140,12.75,2.0,0.0,0.0,1.0
141,4.916664123535156,-1.0,0.0,3.0,5.0
142,3.3333358764648438,-1.0,0.0,2.0,2.0
143,0.0,0.0,0.0,0.0,0.0
144,-18.25,2.0,0.0,1.0,1.0
145,4.25,-2.0,0.0,1.0,2.0
146,-3.333332061767578,1.0,0.0,2.0,0.0
147,4.333332061767578,-2.0,0.0,0.0,0.0
148,5.875,7.0,0.0,2.0,2.0
149,-2.625,0.0,0.0,3.0,4.0
150,2.625,0.0,0.0,0.0,2.0
151,-2.625,0.0,0.0,1.0,0.0
152,-3.5,-4.0,0.0,1.0,1.0
153,4.916664123535156,-1.0,0.0,1.0,0.0
154,-0.9166641235351562,1.0,0.0,2.0,2.0
155,2.5833358764648438,-1.0,0.0,0.0,2.0
156,-15.73333740234375,2.0,0.0,2.0,3.0
157,1.4000015258789062,-2.0,0.0,0.0,4.0
158,-2.0,1.0,0.0,1.0,0.0
159,2.666667938232422,-1.0,0.0,0.0,0.0
160,8.333332061767578,0.0,0.0,1.0,1.0
161,13.0,-2.0,0.0,2.0,1.0
162,-13.0,2.0,0.0,2.0,1.0
163,13.0,-2.0,0.0,0.0,1.0
164,-15.333332061767578,2.0,1.0,0.0,0.0
165,8.333332061767578,-2.0,0.0,0.0,1.0
166,-7.333332061767578,2.0,0.0,0.0,0.0
167,6.333332061767578,-2.0,0.0,1.0,0.0
168,-1.5,1.0,0.0,0.0,0.0
169,6.5,-1.0,0.0,0.0,1.0
170,-16.0,1.0,0.0,2.0,1.0
171,12.5,0.0,0.0,0.0,0.0
172,-19.833332061767578,1.0,0.0,2.0,6.0
173,1.3333320617675781,0.0,0.0,1.0,2.0
174,-1.3333320617675781,0.0,0.0,1.0,0.0
175,0.0,-3.0,0.0,0.0,1.0
176,11.0,3.0,0.0,2.0,1.0
177,8.333332061767578,-2.0,0.0,2.0,3.0
178,-7.333332061767578,2.0,0.0,1.0,0.0
179,6.333332061767578,-2.0,0.0,0.0,1.0
180,-18.333332061767578,2.0,0.0,2.0,3.0
181,6.333332061767578,-1.0,0.0,1.0,3.0
182,-4.0,1.0,0.0,1.0,1.0
183,5.5,-1.0,0.0,2.0,0.0
184,4.25,2.0,0.0,2.0,1.0
185,6.25,-3.0,0.0,1.0,2.0
186,-4.400001525878906,4.0,0.0,2.0,1.0
187,4.400001525878906,-3.0,0.0,0.0,2.0
188,0.0,0.0,0.0,1.0,0.0
189,0.0,0.0,0.0,0.0,0.0
190,-2.0,-4.0,0.0,0.0,0.0
191,1.5833320617675781,-1.0,0.0,0.0,0.0
192,6.000003814697266,0.0,0.0,1.0,4.0
193,5.666664123535156,-1.0,0.0,0.0,0.0
194,-3.6666641235351562,4.0,0.0,2.0,0.0
195,2.6666641235351562,-5.0,0.0,0.0,1.0
196,-1.1999969482421875,4.0,0.0,1.0,1.0
197,-1.5500030517578125,-1.0,0.0,0.0,1.0
198,-3.8499984741210938,1.0,0.0,3.0,0.0
199,0.09999847412109375,-1.0,0.0,1.0,1.0
200,3.1666641235351562,2.0,0.0,0.0,2.0
201,1.6666717529296875,0.0,0.0,2.0,2.0
202,0.6666641235351562,-1.0,0.0,1.0,1.0
203,1.1666641235351562,1.0,0.0,1.0,0.0
204,-6.666664123535156,-2.0,0.0,1.0,2.0
205,-0.5,0.0,0.0,1.0,0.0
206,0.0,1.0,0.0,0.0,1.0
207,1.0,-4.0,0.0,0.0,0.0
208,-11.5,3.0,0.0,0.0,3.0
209,1.3571434020996094,3.0,0.0,2.0,1.0
210,-2.1071434020996094,-3.0,0.0,0.0,1.0
211,1.25,3.0,0.0,0.0,0.0
212,12.400001525878906,-2.0,0.0,1.0,1.0
213,-2.4000015258789062,0.0,0.0,1.0,1.0
214,-2.0,-1.0,0.0,0.0,0.0
215,-0.5999984741210938,1.0,0.0,0.0,0.0
216,3.0999984741210938,-1.0,0.0,1.0,2.0
217,-0.5,0.0,0.0,0.0,0.0
218,0.0,1.0,0.0,0.0,0.0
219,1.0,-4.0,0.0,0.0,1.0
220,-2.75,7.0,0.0,1.0,2.0
221,0.0,0.0,0.0,0.0,1.0
222,0.0,-4.0,0.0,0.0,0.0
223,-1.5,0.0,0.0,0.0,0.0
224,1.5,0.0,1.0,2.0,1.0
225,-1.75,0.0,0.0,0.0,1.0
226,-1.75,0.0,0.0,1.0,0.0
227,0.0,-4.0,0.0,0.0,1.0
228,6.625,8.0,1.0,1.0,3.0
229,2.625,0.0,0.0,0.0,1.0
230,-8.625,0.0,0.0,2.0,0.0
231,0.9107131958007812,-1.0,0.0,0.0,1.0
232,-0.28571319580078125,2.0,0.0,0.0,0.0
233,4.3000030517578125,1.0,0.0,0.0,0.0
234,-4.4250030517578125,-2.0,0.0,0.0,0.0
235,0.9821434020996094,-1.0,0.0,0.0,0.0
236,6.809520721435547,-1.0,0.0,0.0,0.0
237,1.6666717529296875,0.0,0.0,0.0,2.0
238,0.0666656494140625,-1.0,0.0,1.0,0.0
239,1.76666259765625,1.0,0.0,0.0,1.0
240,-10.416664123535156,2.0,0.0,0.0,3.0
241,0.0,0.0,0.0,0.0,1.0
242,-2.0,-4.0,0.0,0.0,0.0
243,1.5833320617675781,-1.0,0.0,0.0,1.0
244,-6.833332061767578,1.0,0.0,0.0,2.0
245,1.3571434020996094,3.0,0.0,0.0,1.0
246,-2.1071434020996094,-3.0,0.0,0.0,0.0
247,1.25,3.0,0.0,1.0,0.0
248,4.75,-3.0,1.0,0.0,1.0
249,0.0,-4.0,0.0,0.0,0.0
250,3.75,4.0,0.0,0.0,0.0
251,0.0,-4.0,0.0,0.0,1.0
252,0.0,0.0,0.0,0.0,0.0
253,6.25,-3.0,0.0,1.0,0.0
254,-6.8000030517578125,4.0,0.0,1.0,0.0
255,1.5500030517578125,-1.0,0.0,0.0,0.0
256,-19.25,-2.0,0.0,3.0,3.0
257,16.5,0.0,0.0,1.0,1.0
258,-8.5,0.0,0.0,0.0,0.0
259,8.5,0.0,0.0,0.0,1.0
260,-3.25,2.0,1.0,1.0,0.0
261,6.25,-3.0,0.0,1.0,0.0
262,-4.400001525878906,4.0,0.0,1.0,1.0
263,4.400001525878906,-3.0,0.0,0.0,1.0
264,0.6666641235351562,1.0,0.0,2.0,1.0
265,7.333335876464844,-2.0,0.0,2.0,1.0
266,-7.333335876464844,2.0,0.0,0.0,0.0
267,5.333335876464844,-2.0,0.0,0.0,1.0
268,-20.25,3.0,0.0,2.0,2.0
269,4.0,0.0,0.0,1.0,0.0
270,-2.25,0.0,0.0,0.0,0.0
271,-1.5,4.0,0.0,0.0,3.0
272,7.75,-4.0,0.0,1.0,0.0
273,4.916664123535156,-1.0,0.0,0.0,1.0
274,-0.9166641235351562,1.0,0.0,4.0,1.0
275,2.5833358764648438,-1.0,0.0,0.0,0.0
276,3.6666641235351562,3.0,0.0,1.0,1.0
277,0.5,-2.0,0.0,2.0,2.0
278,-2.3000030517578125,1.0,0.0,0.0,1.0
279,-2.1999969482421875,-3.0,0.0,0.0,1.0
280,-17.400001525878906,3.0,1.0,1.0,2.0
281,1.7333335876464844,-2.0,0.0,2.0,0.0
282,-2.583332061767578,1.0,0.0,0.0,1.0
283,3.583332061767578,-1.0,0.0,0.0,0.0
284,13.416667938232422,1.0,0.0,1.0,2.0
285,6.25,-3.0,0.0,1.0,0.0
286,-6.8000030517578125,4.0,0.0,0.0,1.0
287,1.5500030517578125,-1.0,0.0,1.0,1.0
288,-3.0833358764648438,-1.0,0.0,0.0,1.0
289,11.333335876464844,-2.0,0.0,2.0,1.0
290,-14.333332061767578,2.0,0.0,1.0,0.0
291,14.333332061767578,-2.0,0.0,1.0,2.0
292,-14.0,2.0,1.0,0.0,0.0
293,11.0,-2.0,0.0,0.0,0.0
294,-11.333332061767578,2.0,0.0,0.0,0.0
295,9.333332061767578,-2.0,0.0,2.0,1.0
296,-18.5,3.0,0.0,3.0,1.0
297,1.25,0.0,0.0,2.0,0.0
298,0.5833320617675781,-1.0,0.0,0.0,1.0
299,0.0,-3.0,0.0,0.0,2.0
300,4.666667938232422,1.0,0.0,0.0,2.0
301,-8.666667938232422,5.0,0.0,2.0,0.0
302,2.166667938232422,-2.0,0.0,0.0,1.0
303,0.0,-4.0,0.0,0.0,0.0
304,0.0,4.0,1.0,0.0,2.0
305,1.25,0.0,0.0,1.0,0.0
306,1.75,0.0,0.0,1.0,0.0
307,0.0,-4.0,0.0,0.0,0.0
308,6.25,4.0,0.0,0.0,2.0
309,6.25,-3.0,0.0,3.0,1.0
310,-4.400001525878906,4.0,0.0,0.0,0.0
311,4.400001525878906,-3.0,0.0,1.0,2.0
312,4.666664123535156,1.0,0.0,0.0,2.0
313,-18.666664123535156,-2.0,0.0,1.0,0.0
314,13.5,1.0,0.0,0.0,0.0
315,-13.5,0.0,0.0,1.0,0.0
316,0.0,0.0,0.0,0.0,0.0
317,1.6666717529296875,0.0,0.0,0.0,0.0
318,0.0666656494140625,-1.0,0.0,1.0,0.0
319,1.76666259765625,1.0,0.0,0.0,0.0
320,-7.366664886474609,-1.0,0.0,0.0,0.0
321,-1.5499992370605469,-1.0,0.0,0.0,1.0
322,-6.049999237060547,1.0,0.0,1.0,0.0
323,-0.4500007629394531,-1.0,0.0,0.0,0.0
324,5.0,0.0,1.0,0.0,0.0
325,0.75,4.0,0.0,1.0,0.0
326,0.0,-4.0,0.0,1.0,1.0
327,-1.25,0.0,0.0,0.0,1.0
328,0.5,0.0,0.0,0.0,0.0
329,0.75,4.0,0.0,0.0,0.0
330,0.0,-4.0,0.0,1.0,0.0
331,-1.25,0.0,0.0,0.0,0.0
332,6.083335876464844,2.0,0.0,1.0,0.0
333,3.6666641235351562,0.0,0.0,0.0,3.0
334,-0.5999984741210938,-1.0,0.0,1.0,0.0
335,-2.4000015258789062,1.0,0.0,0.0,0.0
336,-4.75,-2.0,0.0,0.0,1.0
337,-1.5,0.0,0.0,0.0,0.0
338,-2.0,0.0,0.0,0.0,0.0
339,0.0,-4.0,0.0,0.0,1.0
340,5.5,4.0,0.0,1.0,1.0
341,1.4166641235351562,2.0,0.0,1.0,2.0
342,1.0,0.0,0.0,0.0,0.0
343,4.083335876464844,-2.0,0.0,1.0,0.0
344,-7.5,0.0,1.0,0.0,0.0
345,0.0,0.0,0.0,0.0,0.0
346,0.625,4.0,0.0,0.0,1.0
347,0.625,-4.0,0.0,0.0,0.0
348,2.6666641235351562,2.0,0.0,1.0,0.0
349,2.8333358764648438,0.0,0.0,1.0,0.0
350,-0.5999984741210938,-1.0,0.0,0.0,1.0
351,-2.4000015258789062,1.0,0.0,0.0,0.0
352,-8.5,-2.0,0.0,0.0,0.0
353,0.25,0.0,0.0,0.0,0.0
354,3.75,0.0,0.0,0.0,1.0
355,0.25,0.0,0.0,0.0,0.0
356,4.916664123535156,2.0,0.0,0.0,0.0
357,1.6666717529296875,0.0,0.0,1.0,1.0
358,0.0666656494140625,-1.0,0.0,1.0,0.0
359,1.76666259765625,1.0,0.0,1.0,0.0
360,-8.916664123535156,-2.0,0.0,0.0,0.0
361,0.0,-4.0,0.0,0.0,2.0
362,2.25,8.0,0.0,1.0,0.0
363,0.0,0.0,0.0,0.0,1.0
364,4.900001525878906,-3.0,0.0,0.0,0.0
365,0.40000152587890625,0.0,0.0,0.0,0.0
366,-8.13333511352539,1.0,0.0,0.0,0.0
367,-7.866668701171875,-1.0,0.0,0.0,2.0
368,8.450000762939453,3.0,1.0,0.0,0.0
369,0.0,0.0,0.0,1.0,0.0
370,0.0,-4.0,0.0,0.0,0.0
371,-1.5,0.0,0.0,1.0,0.0
372,4.625,4.0,0.0,0.0,0.0
373,2.625,0.0,0.0,1.0,3.0
374,-8.625,0.0,0.0,0.0,0.0
375,0.9107131958007812,-1.0,0.0,1.0,0.0
376,0.46428680419921875,-3.0,0.0,1.0,0.0
377,0.0,4.0,0.0,0.0,0.0
378,-1.75,-4.0,0.0,0.0,0.0
379,0.0,-4.0,0.0,1.0,0.0
380,0.0,0.0,0.0,0.0,0.0
381,0.0,-4.0,0.0,0.0,0.0
382,-3.200000762939453,5.0,1.0,0.0,1.0
383,1.5333328247070312,1.0,0.0,0.0,0.0
384,0.0,-3.0,0.0,1.0,1.0
385,-5.666664123535156,0.0,0.0,2.0,2.0
386,7.333332061767578,2.0,0.0,0.0,1.0
387,-1.5,-1.0,0.0,3.0,0.0
388,0.6666679382324219,2.0,0.0,0.0,1.0
389,-6.666667938232422,-2.0,0.0,1.0,1.0
390,1.5,-1.0,1.0,0.0,0.0
391,6.25,1.0,0.0,0.0,0.0
392,7.75,-2.0,0.0,2.0,1.0
393,-1.5,0.0,0.0,1.0,1.0
394,5.166664123535156,1.0,0.0,2.0,2.0
395,-3.6666641235351562,-1.0,0.0,1.0,0.0
396,-9.5,4.0,0.0,1.0,2.0
397,-5.25,-2.0,0.0,3.0,1.0
398,4.150001525878906,1.0,0.0,1.0,1.0
399,2.2666664123535156,1.0,0.0,1.0,0.0
400,2.833332061767578,-2.0,0.0,2.0,0.0
401,8.0,-2.0,0.0,0.0,1.0
402,-1.9000015258789062,3.0,0.0,2.0,1.0
403,4.400001525878906,-3.0,0.0,1.0,1.0
404,-12.666667938232422,4.0,0.0,1.0,0.0
405,-10.333332061767578,-3.0,0.0,1.0,2.0
406,6.799999237060547,2.0,0.0,1.0,0.0
407,1.5333328247070312,1.0,0.0,0.0,1.0
408,9.666667938232422,-4.0,0.0,4.0,1.0
409,-1.5,0.0,0.0,2.0,2.0
410,5.166664123535156,1.0,0.0,1.0,1.0
411,-3.6666641235351562,-1.0,0.0,2.0,0.0
412,4.25,2.0,0.0,0.0,0.0
413,-4.583335876464844,-1.0,0.0,0.0,1.0
414,-6.916664123535156,1.0,0.0,2.0,0.0
415,-0.5,0.0,0.0,2.0,2.0
416,0.4166679382324219,-1.0,0.0,0.0,1.0
417,6.333332061767578,0.0,0.0,1.0,1.0
418,-2.75,1.0,0.0,3.0,1.0
419,8.25,-2.0,0.0,0.0,0.0
420,-14.166667938232422,1.0,0.0,0.0,0.0
421,7.000003814697266,0.0,0.0,2.0,1.0
422,-6.666667938232422,0.0,0.0,1.0,1.0
423,6.333332061767578,0.0,0.0,0.0,2.0
424,-5.666667938232422,3.0,0.0,1.0,1.0
425,1.6666679382324219,-4.0,0.0,1.0,1.0
426,-4.75,2.0,0.0,0.0,1.0
427,3.0,0.0,0.0,1.0,1.0
428,2.75,1.0,0.0,0.0,0.0
429,4.25,-1.0,0.0,0.0,2.0
430,0.25,-2.0,0.0,0.0,0.0
