,pitch_change,rhythm_change,boundaries,n_M_resp,n_NM_resp
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,-2.0,-4.0,0.0,0.0,1.0
3,1.5833320617675781,-1.0,0.0,0.0,0.0
4,1.9166679382324219,5.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,-4.0,0.0,1.0,0.0
7,-1.5,0.0,0.0,0.0,0.0
8,1.5,0.0,0.0,2.0,0.0
9,0.0,-4.0,0.0,0.0,0.0
10,2.25,8.0,0.0,2.0,1.0
11,0.0,0.0,0.0,1.0,0.0
12,-2.25,-4.0,0.0,1.0,0.0
13,-1.5,0.0,0.0,0.0,0.0
14,-2.0,0.0,0.0,0.0,0.0
15,0.0,-4.0,0.0,0.0,1.0
16,2.0,4.0,1.0,1.0,0.0
17,0.0,4.0,0.0,0.0,0.0
18,-1.75,-4.0,0.0,0.0,0.0
19,0.0,-4.0,0.0,0.0,0.0
20,-0.25,4.0,0.0,1.0,0.0
21,0.0,-4.0,0.0,0.0,0.0
22,3.75,4.0,0.0,1.0,0.0
23,0.0,-4.0,0.0,0.0,0.0
24,-1.75,4.0,0.0,0.0,0.0
25,0.0,4.0,0.0,0.0,0.0
26,-1.75,-4.0,0.0,1.0,2.0
27,0.0,-4.0,0.0,0.0,0.0
28,-0.25,4.0,0.0,0.0,0.0
29,0.0,-4.0,0.0,1.0,0.0
30,2.0,4.0,0.0,0.0,0.0
31,0.0,-4.0,0.0,0.0,0.0
32,6.916664123535156,6.0,1.0,2.0,3.0
33,1.6666717529296875,0.0,0.0,2.0,2.0
34,0.6666641235351562,-1.0,0.0,0.0,0.0
35,1.1666641235351562,1.0,0.0,0.0,0.0
36,-4.0,0.0,0.0,0.0,0.0
37,2.8333358764648438,0.0,0.0,0.0,0.0
38,-0.5999984741210938,-1.0,0.0,1.0,0.0
39,-2.4000015258789062,1.0,0.0,1.0,0.0
40,0.6666641235351562,0.0,0.0,0.0,0.0
41,1.6666717529296875,0.0,0.0,0.0,1.0
42,0.0666656494140625,-1.0,0.0,0.0,0.0
43,1.76666259765625,1.0,0.0,0.0,0.0
44,-1.76666259765625,-1.0,0.0,1.0,0.0
45,0.40000152587890625,0.0,0.0,0.0,1.0
46,-8.13333511352539,1.0,0.0,1.0,0.0
47,-7.866668701171875,-1.0,0.0,1.0,0.0
