,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,53.5,4,0,0,0,0,0
1,60,2,6.5,-2,0,0,0
2,56.333332,3,-3.666667938,1,0,0,0
3,60,2,3.666667938,-1,0,0,0
4,51.6,5,-8.400001526,3,0,0,0
5,53.333332,3,1.733333588,-2,0,2,3
6,50.75,4,-2.583332062,1,0,1,0
7,54.333332,3,3.583332062,-1,0,0,1
8,67.75,4,13.41666794,1,0,3,0
9,72.666664,3,4.916664124,-1,0,3,5
10,76,2,3.333335876,-1,0,1,0
11,71.333336,3,-4.666664124,1,0,0,1
12,58.25,4,-13.08333588,1,0,2,0
13,67,2,8.75,-2,0,1,3
14,57.25,4,-9.75,2,0,2,1
15,67,2,9.75,-2,0,1,0
16,55.25,4,-11.75,2,0,2,0
17,59.5,4,4.25,0,0,0,0
18,54.75,4,-4.75,0,0,0,0
19,54.75,0,0,-4,0,0,0
20,66.5,2,11.75,2,1,4,6
21,56.5,2,-10,0,0,2,2
22,67,2,10.5,0,0,2,0
23,56.5,2,-10.5,0,0,1,0
24,58.625,8,2.125,6,1,0,1
25,62.375,8,3.75,0,0,1,0
26,65.875,8,3.5,0,0,0,0
27,68.375,8,2.5,0,0,0,0
28,60.75,8,-7.625,0,0,0,0
29,58,8,-2.75,0,0,1,0
30,60.75,8,2.75,0,0,0,0
31,58,8,-2.75,0,0,0,0
32,58.75,4,0.75,-4,0,0,0
33,56.875,8,-1.875,4,0,1,3
34,55.25,4,-1.625,-4,0,1,2
35,55.375,8,0.125,4,0,0,0
36,68,3,12.625,-5,0,1,0
37,72,2,4,-1,0,4,4
38,60,2,-12,0,0,0,0
39,54,2,-6,0,0,1,1
40,53.5,4,-0.5,2,1,3,1
41,60,2,6.5,-2,0,0,1
42,56.333332,3,-3.666667938,1,0,0,1
43,60,2,3.666667938,-1,0,1,0
44,56.125,8,-3.875,6,0,0,0
45,56.25,4,0.125,-4,0,2,2
46,56.125,8,-0.125,4,0,2,2
47,56.25,4,0.125,-4,0,0,0
48,51.6,5,-4.650001526,1,0,0,1
49,53.333332,3,1.733333588,-2,0,2,0
50,50.75,4,-2.583332062,1,0,1,0
51,54.333332,3,3.583332062,-1,0,0,0
52,73.666664,3,19.33333206,0,0,0,1
53,58,1,-15.66666412,-2,0,1,4
54,68.5,2,10.5,1,0,1,0
55,57,1,-11.5,-1,0,0,0
56,65.333336,3,8.333335876,2,0,0,1
57,70,1,4.666664124,-2,0,0,1
58,69,3,-1,2,0,0,0
59,67,1,-2,-2,0,1,0
60,65.666664,3,-1.333335876,2,0,0,0
61,77,1,11.33333588,-2,0,0,0
62,62.666668,3,-14.33333206,2,0,0,0
63,77,1,14.33333206,-2,0,0,0
