,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,58.5,4,0,0,0,0,0
1,58.75,4,0.25,0,0,0,0
2,62.5,4,3.75,0,0,0,1
3,62.75,4,0.25,0,0,0,0
4,67.166664,6,4.416664124,2,0,1,2
5,70,6,2.833335876,0,0,2,1
6,68,8,-2,2,0,0,1
7,72.8,5,4.800003052,-3,0,1,1
8,60.75,4,-12.05000305,-1,1,0,0
9,60.75,8,0,4,0,0,1
10,59,4,-1.75,-4,0,1,0
11,59,0,0,-4,0,0,0
12,59.5,4,0.5,4,0,0,0
13,58.75,4,-0.75,0,0,0,0
14,60.75,4,2,0,0,0,0
15,60.75,0,0,-4,0,0,0
16,58.666668,3,-2.083332062,3,1,3,2
17,63,2,4.333332062,-1,0,0,0
18,62.333332,6,-0.666667938,4,0,2,1
19,63.6,5,1.266666412,-1,0,0,0
20,61.8,10,-1.799999237,5,0,1,2
21,64.7,10,2.899997711,0,0,0,0
22,59.375,8,-5.324996948,-2,0,2,0
23,60.285713,7,0.910713196,-1,0,0,0
24,61.2,10,0.914287567,3,0,0,0
25,63.6,10,2.399997711,0,0,0,0
26,57.75,8,-5.849998474,-2,0,1,0
27,59.142857,7,1.392856598,-1,0,0,0
28,60.8,10,1.657142639,3,0,0,0
29,62.9,10,2.100002289,0,0,2,0
30,59.375,8,-3.525001526,-2,0,0,0
31,60,7,0.625,-1,0,0,0
32,56.75,4,-3.25,-3,0,0,0
33,58.125,8,1.375,4,0,1,2
34,62.333332,6,4.208332062,-2,0,0,0
35,63.6,5,1.266666412,-1,0,0,1
36,56.75,4,-6.849998474,-1,0,0,0
37,54.4,5,-2.349998474,1,0,3,2
38,53,4,-1.400001526,-1,0,2,2
39,51.8,5,-1.200000763,1,0,0,0
40,65.25,4,13.45000076,-1,0,1,1
41,64.75,4,-0.5,0,0,1,1
42,67.5,4,2.75,0,0,2,1
43,70.75,4,3.25,0,0,0,0
44,62.5,4,-8.25,0,0,1,1
45,63.42857,7,0.928569794,3,0,0,0
46,61.75,4,-1.678569794,-3,0,1,0
47,62.57143,7,0.821430206,3,0,0,0
48,53,5,-9.571430206,-2,0,1,0
49,56,5,3,0,0,1,1
50,59,5,3,0,0,0,0
51,61.4,5,2.400001526,0,0,0,0
52,63.25,4,1.849998474,-1,0,2,2
53,63.25,4,0,0,0,1,0
54,63.875,8,0.625,4,0,2,4
55,64.5,4,0.625,-4,0,0,1
56,60.8,10,-3.700000763,6,1,1,2
57,62.9,10,2.100002289,0,0,1,1
58,59.375,8,-3.525001526,-2,0,2,0
59,60,7,0.625,-1,0,0,0
60,66.333336,3,6.333335876,-4,0,3,2
61,72,2,5.666664124,-1,0,0,0
62,72.25,4,0.25,2,0,1,0
63,71,1,-1.25,-3,0,0,2
