,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,53.5,4,0,0,,
1,60,2,6.5,-2,,
2,56.333332,3,-3.666667938,1,,
3,60,2,3.666667938,-1,,
4,53.5,4,-6.5,2,,
5,54.75,4,1.25,0,,
6,55.333332,3,0.583332062,-1,,
8,59.333332,3,4,0,,
9,62,2,2.666667938,-1,,
10,58.666668,3,-3.333332062,1,,
11,62,2,3.333332062,-1,,
12,59.2,5,-2.799999237,3,,
13,58.5,4,-0.700000763,-1,,
14,57,2,-1.5,-2,,
15,57,0,0,-2,1,
16,53.5,4,-3.5,4,,1
17,60,2,6.5,-2,,
18,56.333332,3,-3.666667938,1,,
19,60,2,3.666667938,-1,,
20,53.5,4,-6.5,2,,
21,54.75,4,1.25,0,,
22,56.5,4,1.75,0,,
23,56.5,0,0,-4,,
24,57.75,4,1.25,4,,
25,62,2,4.25,-2,,
26,58.666668,3,-3.333332062,1,,
27,63,1,4.333332062,-2,,
28,60,1,-3,0,,
29,51.333332,6,-8.666667938,5,,
30,53.5,4,2.166667938,-2,,
31,53.5,0,0,-4,1,
32,50.666668,3,-2.833332062,3,,1
33,57,2,6.333332062,-1,,
34,53,3,-4,1,,
35,58.5,2,5.5,-1,,
36,50.666668,3,-7.833332062,1,,
37,52,3,1.333332062,0,,
38,50.666668,3,-1.333332062,0,,
39,50.666668,0,0,-3,,
40,54.75,4,4.083332062,4,,
41,58.75,4,4,0,,
42,56.5,4,-2.25,0,,
43,55,8,-1.5,4,,
44,59,4,4,-4,,
45,58.5,4,-0.5,0,,
46,58.666668,3,0.166667938,-1,,
47,58.666668,0,0,-3,1,
48,58.25,4,-0.416667938,4,,1
49,67,2,8.75,-2,,
50,57.25,4,-9.75,2,,
51,67,2,9.75,-2,,
52,58.25,4,-8.75,2,,
53,67,2,8.75,-2,,
54,57.5,4,-9.5,2,,
55,67,2,9.5,-2,,
56,58.75,4,-8.25,2,,
57,56.875,8,-1.875,4,,
58,55.25,4,-1.625,-4,,
59,55.375,8,0.125,4,,
60,55.25,4,-0.125,-4,,
61,59.5,4,4.25,0,,
62,54.75,4,-4.75,0,,
