,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
175,62,1,0,0,,
176,62,5,0,4,,
177,66.25,4,4.25,-1,,
178,66.5,2,0.25,-2,,
179,64.5,2,-2,0,,
180,70,3,5.5,1,,
181,69.333336,3,-0.666664124,0,,
182,66.5,2,-2.833335876,-1,,
183,64.5,2,-2,0,,
184,70,3,5.5,1,,
185,69.333336,3,-0.666664124,0,,
186,70.75,4,1.416664124,1,,
187,63.25,4,-7.5,0,,
188,61,3,-2.25,-1,,
189,58.5,2,-2.5,-1,,
190,60.333332,3,1.833332062,1,,
191,52.5,2,-7.833332062,-1,1,
192,62.4,5,9.900001526,3,,1
193,62.8,5,0.399997711,0,,
194,62.5,4,-0.299999237,-1,,
195,62,4,-0.5,0,,
196,62.6,5,0.599998474,1,,
197,63,5,0.400001526,0,,
198,62.5,4,-0.5,-1,,
199,61.25,4,-1.25,0,,
200,62.6,5,1.349998474,1,,
201,63,5,0.400001526,0,,
202,66.666664,6,3.666664124,1,,
203,62.8,5,-3.866664886,-1,,
204,61,3,-1.799999237,-2,,
205,59.75,4,-1.25,1,,
206,60.333332,3,0.583332062,-1,,
207,60.333332,0,0,-3,1,
208,56.666668,3,-3.666664124,3,,1
209,65,4,8.333332062,1,,
210,56.333332,3,-8.666667938,-1,,
211,64,3,7.666667938,0,,
212,58.333332,3,-5.666667938,0,,
213,65.333336,3,7.000003815,0,,
214,58.666668,3,-6.666667938,0,,
215,65,3,6.333332062,0,,
216,62.5,4,-2.5,1,,
217,70.5,2,8,-2,,
218,68.6,5,-1.900001526,3,,
219,73,2,4.400001526,-3,,
220,66.666664,3,-6.333335876,1,,
221,68,2,1.333335876,-1,,
222,65.666664,3,-2.333335876,1,,
223,56,2,-9.666664124,-1,1,
224,62,5,6,3,,1
225,66.25,4,4.25,-1,,
226,66.5,2,0.25,-2,,
227,64.5,2,-2,0,,
228,70,3,5.5,1,,
229,69.333336,3,-0.666664124,0,,
230,66.5,2,-2.833335876,-1,,
231,64.5,2,-2,0,,
232,70,3,5.5,1,,
233,69.333336,3,-0.666664124,0,,
234,70.75,4,1.416664124,1,,
235,66,3,-4.75,-1,,
236,62.666668,3,-3.333332062,0,,
237,58.25,4,-4.416667938,1,,
238,54.75,4,-3.5,0,,
