,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,53.5,4,0,0,0,0,0
1,60,2,6.5,-2,0,0,0
2,52.6,5,-7.400001526,3,0,1,0
3,54.333332,3,1.733333588,-2,0,1,1
4,76,2,21.66666794,-1,0,4,1
5,76,2,0,0,0,1,2
6,53.5,4,-22.5,2,0,2,0
7,54.75,4,1.25,0,0,3,0
8,64.6,5,9.849998474,1,0,2,0
9,69,2,4.400001526,-3,0,2,0
10,62.666668,3,-6.333332062,1,0,3,0
11,69,1,6.333332062,-2,0,1,1
12,52.6,5,-16.40000153,4,0,1,2
13,54.333332,3,1.733333588,-2,0,1,0
14,62.75,4,8.416667938,1,0,0,0
15,69,1,6.25,-3,0,1,1
16,64,3,-5,2,0,1,1
17,77,1,13,-2,0,2,0
18,63,3,-14,2,0,0,0
19,74,1,11,-2,0,1,0
20,67.2,5,-6.800003052,4,0,0,0
21,68.75,4,1.550003052,-1,0,2,1
22,62.75,4,-6,0,0,0,1
23,67.666664,3,4.916664124,-1,0,2,1
24,54.75,4,-12.91666412,1,0,4,0
25,54.75,0,0,-4,0,1,0
26,53,3,-1.75,3,1,1,2
27,58.5,2,5.5,-1,0,2,0
28,68.5,2,10,0,0,1,0
29,57,1,-11.5,-1,0,2,0
30,68.875,8,11.875,7,0,2,0
31,66.25,8,-2.625,0,0,1,2
32,53.5,4,-12.75,-4,0,1,0
33,54.75,4,1.25,0,0,0,0
34,67.2,5,12.44999695,1,0,1,0
35,68.75,4,1.550003052,-1,0,1,0
36,56.333332,3,-12.41666794,-1,0,3,1
37,60,2,3.666667938,-1,0,1,1
38,65.666664,3,5.666664124,1,0,0,0
39,77,1,11.33333588,-2,0,2,0
40,67.2,5,-9.800003052,4,0,0,0
41,68.75,4,1.550003052,-1,0,1,0
42,65.666664,3,-3.083335876,-1,0,1,1
43,77,1,11.33333588,-2,0,0,0
44,59.2,5,-17.79999924,4,0,4,2
45,58.5,4,-0.700000763,-1,0,1,0
46,60,1,1.5,-3,0,1,0
47,51.333332,6,-8.666667938,5,0,0,1
48,63.5,2,12.16666794,-4,0,3,0
49,54.5,2,-9,0,0,0,0
50,49.5,2,-5,0,0,0,1
51,66,2,16.5,0,0,0,1
52,54.4,5,-11.59999847,3,0,0,0
53,55.666668,3,1.266666412,-2,0,1,1
54,50.666668,3,-5,0,0,2,2
55,50.666668,0,0,-3,0,0,0
56,67.9,10,17.23333359,10,0,2,0
57,75,1,7.099998474,-9,0,3,0
58,66.5,2,-8.5,1,0,1,0
59,56.5,2,-10,0,0,1,1
60,59,4,2.5,2,0,1,0
61,58.5,4,-0.5,0,0,0,0
62,53.6,5,-4.900001526,1,0,0,0
63,55,3,1.400001526,-2,0,0,0
