,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,68.5,8,0,0,0,0,0
1,68.75,4,0.25,-4,0,0,0
2,73.666664,3,4.916664124,-1,0,1,2
3,58,1,-15.66666412,-2,0,2,1
4,50.666668,3,-7.333332062,2,0,1,1
5,57,2,6.333332062,-1,0,3,1
6,56.125,8,-0.875,6,0,0,2
7,56.25,4,0.125,-4,0,0,2
8,64,8,7.75,4,0,1,2
9,63.5,4,-0.5,-4,0,0,1
10,62.75,4,-0.75,0,0,0,0
11,67.666664,3,4.916664124,-1,0,0,0
12,62.75,4,-4.916664124,1,0,0,1
13,69,1,6.25,-3,0,1,2
14,64,3,-5,2,0,0,1
15,77,1,13,-2,0,2,3
16,56.5,4,-20.5,3,0,2,2
17,56.5,0,0,-4,0,1,0
18,62.666668,3,6.166667938,3,0,1,0
19,72,1,9.333332062,-2,0,0,1
20,56.5,4,-15.5,3,0,2,3
21,55,8,-1.5,4,0,0,0
22,55.25,4,0.25,-4,0,2,4
23,59.5,4,4.25,0,0,0,2
24,50.666668,3,-8.833332062,-1,0,1,0
25,52,3,1.333332062,0,0,0,0
26,67.75,4,15.75,1,0,1,1
27,72.666664,3,4.916664124,-1,0,1,4
28,67.75,4,-4.916664124,1,0,1,0
29,72.666664,3,4.916664124,-1,0,0,0
30,53.6,5,-19.06666565,2,0,3,4
31,55,3,1.400001526,-2,0,4,1
32,68.5,2,13.5,-1,0,0,1
33,55,2,-13.5,0,0,0,0
34,66.75,4,11.75,2,0,0,0
35,69.333336,3,2.583335876,-1,0,0,3
36,58.25,4,-11.08333588,1,0,0,1
37,67,2,8.75,-2,0,0,2
38,67.5,2,0.5,0,0,2,0
39,74,1,6.5,-1,0,2,3
40,58.625,8,-15.375,7,0,1,1
41,62.375,8,3.75,0,0,1,3
42,62.75,4,0.375,-4,0,1,0
43,69,1,6.25,-3,0,0,2
44,69,3,0,2,0,2,0
45,67,1,-2,-2,0,1,1
46,57.75,4,-9.25,3,0,1,2
47,62,2,4.25,-2,0,0,0
48,69.666664,3,7.666664124,1,0,0,0
49,77,1,7.333335876,-2,0,0,2
50,66.75,4,-10.25,3,0,0,0
51,69.333336,3,2.583335876,-1,0,2,1
52,56.8,5,-12.53333664,2,0,1,2
53,57.666668,3,0.866668701,-2,0,0,2
54,58.666668,3,1,0,0,0,1
55,62,2,3.333332062,-1,0,0,0
56,60,2,-2,0,0,1,0
57,54,2,-6,0,0,0,1
58,51.6,5,-2.400001526,3,1,3,2
59,53.333332,3,1.733333588,-2,0,1,2
60,73.5,2,20.16666794,-1,0,0,0
61,65,4,-8.5,2,0,3,2
62,69.666664,3,4.666664124,-1,0,0,2
63,75,1,5.333335876,-2,0,1,0
