,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,60.75,8,0,0,0,1,0
1,60.75,8,0,0,0,1,0
2,61.2,10,0.450000763,2,0,2,1
3,63.6,10,2.399997711,0,0,0,2
4,63.875,8,0.275001526,-2,0,2,2
5,64.5,4,0.625,-4,0,1,0
6,67.5,4,3,0,1,4,2
7,70.75,4,3.25,0,0,1,0
8,65.25,4,-5.5,0,0,3,2
9,64.75,4,-0.5,0,0,0,0
10,60.75,4,-4,0,0,0,0
11,61.5,8,0.75,4,0,2,0
12,59.5,4,-2,-4,0,1,1
13,58.75,4,-0.75,0,0,1,1
14,58.5,4,-0.25,0,0,1,1
15,58.75,4,0.25,0,0,0,1
16,53,5,-5.75,1,0,2,3
17,56,5,3,0,0,1,0
18,56.75,4,0.75,-1,0,1,1
19,56.5,6,-0.25,2,0,0,0
20,52.75,4,-3.75,-2,1,0,1
21,54,7,1.25,3,0,0,1
22,59.875,8,5.875,1,0,0,1
23,60.857143,7,0.982143402,-1,0,1,0
24,59,5,-1.857143402,-2,0,0,0
25,61.4,5,2.400001526,0,0,2,1
26,65.375,8,3.974998474,3,0,0,2
27,68,8,2.625,0,0,0,1
28,67.666664,6,-0.333335876,-2,0,1,2
29,69.333336,6,1.666671753,0,0,0,0
30,56.666668,6,-12.66666794,0,0,0,0
31,56.5,4,-0.166667938,-2,0,1,0
32,61.5,4,5,0,1,3,1
33,60.25,4,-1.25,0,0,2,2
34,53,4,-7.25,0,0,0,0
35,51.8,5,-1.200000763,1,0,3,1
36,59.875,8,8.075000763,3,0,0,1
37,60.857143,7,0.982143402,-1,0,1,0
38,60.75,4,-0.107143402,-3,0,2,1
39,60.75,8,0,4,0,0,0
40,62.25,4,1.5,-4,0,1,0
41,60.75,4,-1.5,0,0,0,1
42,69.4,5,8.650001526,1,0,0,1
43,71.166664,6,1.766662598,1,0,2,1
44,61.8,10,-9.366664886,4,0,3,1
45,64.7,10,2.899997711,0,0,0,0
46,64.25,4,-0.449996948,-6,0,1,3
47,65.666664,6,1.416664124,2,0,3,2
48,56.666668,6,-8.999996185,0,0,0,1
49,56.5,4,-0.166667938,-2,0,1,0
50,62.5,4,6,0,1,0,0
51,62.75,4,0.25,0,0,2,1
52,64,5,1.25,1,0,0,0
53,65,1,1,-4,0,1,0
54,62.25,8,-2.75,7,0,1,0
55,62.25,8,0,0,0,1,1
56,64.5,8,2.25,0,0,1,1
57,64.5,8,0,0,0,1,1
58,68.6,5,4.099998474,-3,0,2,0
59,68.25,4,-0.349998474,-1,0,1,1
60,58.75,4,-9.5,0,0,3,0
61,60.333332,3,1.583332062,-1,0,0,0
62,61.75,4,1.416667938,1,0,0,0
63,62.57143,7,0.821430206,3,0,2,2
