,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
176,58.666668,3,0,0,0,1,3
177,66.75,4,8.083332062,1,0,2,0
178,59.166668,6,-7.583332062,2,0,3,2
179,52.5,4,-6.666667938,-2,0,1,1
180,71.666664,3,19.16666412,-1,1,2,1
181,68,2,-3.666664124,-1,0,3,2
182,59.75,4,-8.25,2,0,2,1
183,57.333332,3,-2.416667938,-1,0,1,0
184,58,3,0.666667938,0,0,2,2
185,65.333336,3,7.333335876,0,0,0,0
186,59.75,4,-5.583335876,1,0,1,0
187,59.4,5,-0.349998474,1,0,1,1
188,71.666664,3,12.2666626,-2,0,1,1
189,68,2,-3.666664124,-1,0,0,0
190,66.25,4,-1.75,2,0,2,2
191,69.333336,3,3.083335876,-1,0,1,0
192,60,4,-9.333335876,1,1,0,1
193,60,0,0,-4,0,0,2
194,56.75,4,-3.25,4,0,2,1
195,49,2,-7.75,-2,0,0,0
196,68,2,19,0,1,2,3
197,66.5,2,-1.5,0,0,2,1
198,62.6,5,-3.900001526,3,0,0,0
199,63,5,0.400001526,0,0,1,0
200,59.25,4,-3.75,-1,0,0,2
201,61,4,1.75,0,0,0,2
202,67.6,5,6.599998474,1,0,0,0
203,63.25,4,-4.349998474,-1,0,2,1
204,68,2,4.75,-2,0,1,0
205,66.5,2,-1.5,0,0,0,0
206,62.285713,7,-4.214286804,5,0,1,3
207,58,4,-4.285713196,-3,0,0,1
208,58.5,4,0.5,0,0,1,2
209,53.666668,3,-4.833332062,-1,0,2,2
210,58.5,4,4.833332062,1,1,1,1
211,60.5,4,2,0,0,1,3
212,68.6,5,8.099998474,1,1,0,0
213,73,2,4.400001526,-3,0,0,0
214,61,3,-12,1,0,0,3
215,58.5,2,-2.5,-1,0,2,1
216,56.333332,3,-2.166667938,1,0,4,1
217,64,3,7.666667938,0,0,1,1
218,61.333332,3,-2.666667938,0,0,0,1
219,62.333332,3,1,0,0,3,0
220,62.6,5,0.266666412,2,0,0,0
221,63,5,0.400001526,0,0,0,1
222,59.166668,6,-3.833332062,1,0,0,2
223,52.5,4,-6.666667938,-2,0,1,3
224,58.2,5,5.700000763,1,0,0,1
225,61.75,4,3.549999237,-1,0,3,1
226,60,5,-1.75,1,0,1,0
227,58.5,4,-1.5,-1,0,0,1
228,56.8,5,-1.700000763,1,0,0,1
229,58.333332,6,1.533332825,1,0,0,1
230,63,3,4.666667938,-3,0,0,0
231,60.5,2,-2.5,-1,0,0,3
232,62.25,4,1.75,2,0,2,3
233,62.333332,3,0.083332062,-1,0,2,2
234,65.5,4,3.166667938,1,0,1,0
235,68,4,2.5,0,0,3,0
236,66.25,4,-1.75,0,0,2,0
237,69.333336,3,3.083335876,-1,0,1,1
238,55,3,-14.33333588,0,0,1,0
239,54,2,-1,-1,0,0,1
,,,,,0,0,1
,,,,,0,1,4
,,,,,0,1,0
