,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,60,9,0,0,0,2,0
1,64.3,10,4.300003052,1,0,1,0
2,59.875,8,-4.425003052,-2,0,1,0
3,60.857143,7,0.982143402,-1,0,0,0
4,65,3,4.142856598,-4,0,4,0
5,70,2,5,-1,0,1,2
6,69,4,-1,2,0,3,2
7,71,1,2,-3,0,0,0
8,61.2,10,-9.799999237,9,1,3,2
9,63.6,10,2.399997711,0,0,2,1
10,57.75,8,-5.849998474,-2,0,1,0
11,59.142857,7,1.392856598,-1,0,0,0
12,61.8,10,2.657142639,3,0,2,0
13,64.7,10,2.899997711,0,0,1,0
14,59.375,8,-5.324996948,-2,0,1,0
15,60.285713,7,0.910713196,-1,0,0,0
16,62.25,4,1.964286804,-3,0,3,1
17,62.25,0,0,-4,0,3,1
18,64.5,8,2.25,8,0,2,1
19,64.5,8,0,0,0,0,2
20,58.4,5,-6.099998474,-3,0,3,0
21,56.25,4,-2.150001526,-1,0,1,1
22,52.4,5,-3.849998474,1,0,0,0
23,52.5,4,0.099998474,-1,0,0,1
24,59.5,10,7,6,1,1,1
25,62.3,10,2.799999237,0,0,4,1
26,56.75,4,-5.549999237,-6,0,2,0
27,56.5,6,-0.25,2,0,0,0
28,65.25,4,8.75,-2,1,0,1
29,64.75,4,-0.5,0,0,2,1
30,67.5,4,2.75,0,0,1,0
31,70.75,4,3.25,0,0,1,0
32,60.2,10,-10.54999924,6,0,3,2
33,62.2,10,2,0,0,2,0
34,57.333332,6,-4.866668701,-4,0,1,0
35,56.5,4,-0.833332062,-2,0,0,0
36,59.5,4,3,0,1,2,0
37,58.75,4,-0.75,0,0,2,0
38,60.75,4,2,0,0,1,0
39,60.75,0,0,-4,0,0,0
40,65,3,4.25,3,0,1,1
41,70,2,5,-1,0,2,1
42,69,4,-1,2,0,0,0
43,71,1,2,-3,0,0,0
44,58.75,4,-12.25,3,0,0,1
45,58.75,0,0,-4,0,0,0
46,60.75,4,2,4,0,2,1
47,60.75,0,0,-4,0,0,1
48,68.6,5,7.849998474,5,1,2,0
49,68.25,4,-0.349998474,-1,0,1,1
50,68.2,5,-0.050003052,1,0,1,0
51,67.75,4,-0.449996948,-1,0,1,0
52,59.5,10,-8.25,6,0,2,2
53,62.3,10,2.799999237,0,0,2,1
54,56.666668,6,-5.633331299,-4,0,1,1
55,56.5,4,-0.166667938,-2,0,0,0
56,60.2,10,3.700000763,6,1,0,0
57,62.2,10,2,0,0,1,0
58,56.666668,6,-5.533332825,-4,0,0,0
59,56.5,4,-0.166667938,-2,0,0,0
