,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,68.5,8,0,0,0,0,1
1,68.75,4,0.25,-4,0,0,0
2,68.5,8,-0.25,4,0,0,0
3,68.75,4,0.25,-4,0,1,0
4,59,4,-9.75,0,0,3,5
5,58.5,4,-0.5,0,0,2,3
6,58.666668,3,0.166667938,-1,0,0,1
7,58.666668,0,0,-3,0,0,0
8,55.2,5,-3.466667175,5,1,0,0
9,56.333332,3,1.133331299,-2,0,3,1
10,55,4,-1.333332062,1,0,0,0
11,57.666668,3,2.666667938,-1,0,0,1
12,63.5,2,5.833332062,-1,0,0,3
13,54.5,2,-9,0,0,4,0
14,62.5,2,8,0,0,2,1
15,55,2,-7.5,0,0,0,1
16,67.75,4,12.75,2,0,0,1
17,72.666664,3,4.916664124,-1,0,3,5
18,76,2,3.333335876,-1,0,2,2
19,76,2,0,0,0,0,0
20,57.75,4,-18.25,2,0,1,1
21,62,2,4.25,-2,0,1,2
22,58.666668,3,-3.333332062,1,0,2,0
23,63,1,4.333332062,-2,0,0,0
24,68.875,8,5.875,7,0,2,2
25,66.25,8,-2.625,0,0,3,4
26,68.875,8,2.625,0,0,0,2
27,66.25,8,-2.625,0,0,1,0
28,62.75,4,-3.5,-4,0,1,1
29,67.666664,3,4.916664124,-1,0,1,0
30,66.75,4,-0.916664124,1,0,2,2
31,69.333336,3,2.583335876,-1,0,0,2
32,53.6,5,-15.7333374,2,0,2,3
33,55,3,1.400001526,-2,0,0,4
34,53,4,-2,1,0,1,0
35,55.666668,3,2.666667938,-1,0,0,0
36,64,3,8.333332062,0,0,1,1
37,77,1,13,-2,0,2,1
38,64,3,-13,2,0,2,1
39,77,1,13,-2,0,0,1
40,61.666668,3,-15.33333206,2,1,0,0
41,70,1,8.333332062,-2,0,0,1
42,62.666668,3,-7.333332062,2,0,0,0
43,69,1,6.333332062,-2,0,1,0
44,67.5,2,-1.5,1,0,0,0
45,74,1,6.5,-1,0,0,1
46,58,2,-16,1,0,2,1
47,70.5,2,12.5,0,0,0,0
48,50.666668,3,-19.83333206,1,0,2,6
49,52,3,1.333332062,0,0,1,2
50,50.666668,3,-1.333332062,0,0,1,0
51,50.666668,0,0,-3,0,0,1
52,61.666668,3,11,3,0,2,1
53,70,1,8.333332062,-2,0,2,3
54,62.666668,3,-7.333332062,2,0,1,0
55,69,1,6.333332062,-2,0,0,1
56,50.666668,3,-18.33333206,2,0,2,3
57,57,2,6.333332062,-1,0,1,3
58,53,3,-4,1,0,1,1
59,58.5,2,5.5,-1,0,2,0
60,62.75,4,4.25,2,0,2,1
61,69,1,6.25,-3,0,1,2
62,64.6,5,-4.400001526,4,0,2,1
63,69,2,4.400001526,-3,0,0,2
