,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,67.75,4,0,0,0,0,0
1,74,1,6.25,-3,0,1,0
2,67.2,5,-6.800003052,4,0,1,0
3,68.75,4,1.550003052,-1,0,0,0
4,49.5,2,-19.25,-2,0,3,3
5,66,2,16.5,0,0,1,1
6,57.5,2,-8.5,0,0,0,0
7,66,2,8.5,0,0,0,1
8,62.75,4,-3.25,2,1,1,0
9,69,1,6.25,-3,0,1,0
10,64.6,5,-4.400001526,4,0,1,1
11,69,2,4.400001526,-3,0,0,1
12,69.666664,3,0.666664124,1,0,2,1
13,77,1,7.333335876,-2,0,2,1
14,69.666664,3,-7.333335876,2,0,0,0
15,75,1,5.333335876,-2,0,0,1
16,54.75,4,-20.25,3,0,2,2
17,58.75,4,4,0,0,1,0
18,56.5,4,-2.25,0,0,0,0
19,55,8,-1.5,4,0,0,3
20,62.75,4,7.75,-4,0,1,0
21,67.666664,3,4.916664124,-1,0,0,1
22,66.75,4,-0.916664124,1,0,4,1
23,69.333336,3,2.583335876,-1,0,0,0
24,73,6,3.666664124,3,0,1,1
25,73.5,4,0.5,-2,0,2,2
26,71.2,5,-2.300003052,1,0,0,1
27,69,2,-2.199996948,-3,0,0,1
28,51.6,5,-17.40000153,3,1,1,2
29,53.333332,3,1.733333588,-2,0,2,0
30,50.75,4,-2.583332062,1,0,0,1
31,54.333332,3,3.583332062,-1,0,0,0
32,67.75,4,13.41666794,1,0,1,2
33,74,1,6.25,-3,0,1,0
34,67.2,5,-6.800003052,4,0,0,1
35,68.75,4,1.550003052,-1,0,1,1
36,65.666664,3,-3.083335876,-1,0,0,1
37,77,1,11.33333588,-2,0,2,1
38,62.666668,3,-14.33333206,2,0,1,0
39,77,1,14.33333206,-2,0,1,2
40,63,3,-14,2,1,0,0
41,74,1,11,-2,0,0,0
42,62.666668,3,-11.33333206,2,0,0,0
43,72,1,9.333332062,-2,0,2,1
44,53.5,4,-18.5,3,0,3,1
45,54.75,4,1.25,0,0,2,0
46,55.333332,3,0.583332062,-1,0,0,1
47,55.333332,0,0,-3,0,0,2
48,60,1,4.666667938,1,0,0,2
49,51.333332,6,-8.666667938,5,0,2,0
50,53.5,4,2.166667938,-2,0,0,1
51,53.5,0,0,-4,0,0,0
52,53.5,4,0,4,1,0,2
53,54.75,4,1.25,0,0,1,0
54,56.5,4,1.75,0,0,1,0
55,56.5,0,0,-4,0,0,0
56,62.75,4,6.25,4,0,0,2
57,69,1,6.25,-3,0,3,1
58,64.6,5,-4.400001526,4,0,0,0
59,69,2,4.400001526,-3,0,1,2
60,73.666664,3,4.666664124,1,0,0,2
61,55,1,-18.66666412,-2,0,1,0
62,68.5,2,13.5,1,0,0,0
63,55,2,-13.5,0,0,1,0
