,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,60.75,8,0,0,0,1,0
1,60.75,8,0,0,0,0,0
2,58.75,4,-2,-4,0,0,0
3,60.333332,3,1.583332062,-1,0,0,0
4,66.333336,3,6.000003815,0,0,1,4
5,72,2,5.666664124,-1,0,0,0
6,68.333336,6,-3.666664124,4,0,2,0
7,71,1,2.666664124,-5,0,0,1
8,69.8,5,-1.199996948,4,0,1,1
9,68.25,4,-1.550003052,-1,0,0,1
10,64.4,5,-3.849998474,1,0,3,0
11,64.5,4,0.099998474,-1,0,1,1
12,67.666664,6,3.166664124,2,0,0,2
13,69.333336,6,1.666671753,0,0,2,2
14,70,5,0.666664124,-1,0,1,1
15,71.166664,6,1.166664124,1,0,1,0
16,64.5,4,-6.666664124,-2,0,1,2
17,64,4,-0.5,0,0,1,0
18,64,5,0,1,0,0,1
19,65,1,1,-4,0,0,0
20,53.5,4,-11.5,3,0,0,3
21,54.857143,7,1.357143402,3,0,2,1
22,52.75,4,-2.107143402,-3,0,0,1
23,54,7,1.25,3,0,0,0
24,66.4,5,12.40000153,-2,0,1,1
25,64,5,-2.400001526,0,0,1,1
26,62,4,-2,-1,0,0,0
27,61.4,5,-0.599998474,1,0,0,0
28,64.5,4,3.099998474,-1,0,1,2
29,64,4,-0.5,0,0,0,0
30,64,5,0,1,0,0,0
31,65,1,1,-4,0,0,1
32,62.25,8,-2.75,7,0,1,2
33,62.25,8,0,0,0,0,1
34,62.25,4,0,-4,0,0,0
35,60.75,4,-1.5,0,0,0,0
36,62.25,4,1.5,0,1,2,1
37,60.5,4,-1.75,0,0,0,1
38,58.75,4,-1.75,0,0,1,0
39,58.75,0,0,-4,0,0,1
40,65.375,8,6.625,8,1,1,3
41,68,8,2.625,0,0,0,1
42,59.375,8,-8.625,0,0,2,0
43,60.285713,7,0.910713196,-1,0,0,1
44,60,9,-0.285713196,2,0,0,0
45,64.3,10,4.300003052,1,0,0,0
46,59.875,8,-4.425003052,-2,0,0,0
47,60.857143,7,0.982143402,-1,0,0,0
48,67.666664,6,6.809520721,-1,0,0,0
49,69.333336,6,1.666671753,0,0,0,2
50,69.4,5,0.066665649,-1,0,1,0
51,71.166664,6,1.766662598,1,0,0,1
52,60.75,8,-10.41666412,2,0,0,3
53,60.75,8,0,0,0,0,1
54,58.75,4,-2,-4,0,0,0
55,60.333332,3,1.583332062,-1,0,0,1
56,53.5,4,-6.833332062,1,0,0,2
57,54.857143,7,1.357143402,3,0,0,1
58,52.75,4,-2.107143402,-3,0,0,0
59,54,7,1.25,3,0,1,0
60,58.75,4,4.75,-3,1,0,1
61,58.75,0,0,-4,0,0,0
62,62.5,4,3.75,4,0,0,0
63,62.5,0,0,-4,0,0,1
