,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,67.666664,6,0,0,0,0,0
1,69.333336,6,1.666671753,0,0,0,0
2,69.4,5,0.066665649,-1,0,1,0
3,71.166664,6,1.766662598,1,0,0,0
4,63.8,5,-7.366664886,-1,0,0,0
5,62.25,4,-1.549999237,-1,0,0,1
6,56.2,5,-6.049999237,1,0,1,0
7,55.75,4,-0.450000763,-1,0,0,0
8,60.75,4,5,0,1,0,0
9,61.5,8,0.75,4,0,1,0
10,61.5,4,0,-4,0,1,1
11,60.25,4,-1.25,0,0,0,1
12,60.75,4,0.5,0,0,0,0
13,61.5,8,0.75,4,0,0,0
14,61.5,4,0,-4,0,1,0
15,60.25,4,-1.25,0,0,0,0
16,66.333336,6,6.083335876,2,0,1,0
17,70,6,3.666664124,0,0,0,3
18,69.4,5,-0.599998474,-1,0,1,0
19,67,6,-2.400001526,1,0,0,0
20,62.25,4,-4.75,-2,0,0,1
21,60.75,4,-1.5,0,0,0,0
22,58.75,4,-2,0,0,0,0
23,58.75,0,0,-4,0,0,1
24,64.25,4,5.5,4,0,1,1
25,65.666664,6,1.416664124,2,0,1,2
26,66.666664,6,1,0,0,0,0
27,70.75,4,4.083335876,-2,0,1,0
28,63.25,4,-7.5,0,1,0,0
29,63.25,4,0,0,0,0,0
30,63.875,8,0.625,4,0,0,1
31,64.5,4,0.625,-4,0,0,0
32,67.166664,6,2.666664124,2,0,1,0
33,70,6,2.833335876,0,0,1,0
34,69.4,5,-0.599998474,-1,0,0,1
35,67,6,-2.400001526,1,0,0,0
36,58.5,4,-8.5,-2,0,0,0
37,58.75,4,0.25,0,0,0,0
38,62.5,4,3.75,0,0,0,1
39,62.75,4,0.25,0,0,0,0
40,67.666664,6,4.916664124,2,0,0,0
41,69.333336,6,1.666671753,0,0,1,1
42,69.4,5,0.066665649,-1,0,1,0
43,71.166664,6,1.766662598,1,0,1,0
44,62.25,4,-8.916664124,-2,0,0,0
45,62.25,0,0,-4,0,0,2
46,64.5,8,2.25,8,0,1,0
47,64.5,8,0,0,0,0,1
48,69.4,5,4.900001526,-3,0,0,0
49,69.8,5,0.400001526,0,0,0,0
50,61.666668,6,-8.133335114,1,0,0,0
51,53.8,5,-7.866668701,-1,0,0,2
52,62.25,8,8.450000763,3,1,0,0
53,62.25,8,0,0,0,1,0
54,62.25,4,0,-4,0,0,0
55,60.75,4,-1.5,0,0,1,0
56,65.375,8,4.625,4,0,0,0
57,68,8,2.625,0,0,1,3
58,59.375,8,-8.625,0,0,0,0
59,60.285713,7,0.910713196,-1,0,1,0
60,60.75,4,0.464286804,-3,0,1,0
61,60.75,8,0,4,0,0,0
62,59,4,-1.75,-4,0,0,0
63,59,0,0,-4,0,1,0
