,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,53.5,4,0,0,,
1,60,2,6.5,-2,,
2,56.333332,3,-3.666667938,1,,
3,60,2,3.666667938,-1,,
4,53.5,4,-6.5,2,,
5,54.75,4,1.25,0,,
6,56.5,4,1.75,0,,
7,56.5,0,0,-4,,
8,57.75,4,1.25,4,,
9,62,2,4.25,-2,,
10,58.666668,3,-3.333332062,1,,
11,63,1,4.333332062,-2,,
12,60,1,-3,0,,
13,51.333332,6,-8.666667938,5,,
14,53.5,4,2.166667938,-2,,
15,53.5,0,0,-4,1,
16,62.75,4,9.25,4,,1
17,69,1,6.25,-3,,
18,64.6,5,-4.400001526,4,,
19,69,2,4.400001526,-3,,
20,62.75,4,-6.25,2,,
21,69,1,6.25,-3,,
22,64.6,5,-4.400001526,4,,
23,69,2,4.400001526,-3,,
24,62.75,4,-6.25,2,,
25,67.666664,3,4.916664124,-1,,
26,66.75,4,-0.916664124,1,,
27,69.333336,3,2.583335876,-1,,
28,68.6,5,-0.733337402,2,,
29,69,4,0.400001526,-1,,
30,63,2,-6,-2,,
31,63,0,0,-2,1,
32,53.5,4,-9.5,4,,1
33,60,2,6.5,-2,,
34,56.333332,3,-3.666667938,1,,
35,60,2,3.666667938,-1,,
36,53.5,4,-6.5,2,,
37,54.75,4,1.25,0,,
38,55.333332,3,0.583332062,-1,,
40,59.333332,3,4,0,,
41,62,2,2.666667938,-1,,
42,58.666668,3,-3.333332062,1,,
43,62,2,3.333332062,-1,,
44,59.2,5,-2.799999237,3,,
45,58.5,4,-0.700000763,-1,,
46,57,2,-1.5,-2,,
47,57,0,0,-2,1,
48,67.75,4,10.75,4,,1
49,74,1,6.25,-3,,
50,67.2,5,-6.800003052,4,,
51,68.75,4,1.550003052,-1,,
52,67.75,4,-1,0,,
53,74,1,6.25,-3,,
54,67.2,5,-6.800003052,4,,
55,68.75,4,1.550003052,-1,,
56,67.75,4,-1,0,,
57,72.666664,3,4.916664124,-1,,
58,76,2,3.333335876,-1,,
59,71.333336,3,-4.666664124,1,,
60,71.6,5,0.266662598,2,,
61,70.25,4,-1.349998474,-1,,
62,60,4,-10.25,0,,
63,57,2,-3,-2,,
