,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,58.5,4,0,0,,
1,58.75,4,0.25,0,,
2,62.5,4,3.75,0,,
3,62.75,4,0.25,0,,
4,65.25,4,2.5,0,,
5,64.75,4,-0.5,0,,
6,67.5,4,2.75,0,,
7,70.75,4,3.25,0,,
8,68.6,5,-2.150001526,1,,
9,68.25,4,-0.349998474,-1,,
10,68.2,5,-0.050003052,1,,
11,67.75,4,-0.449996948,-1,,
12,63.8,5,-3.950000763,1,,
13,62.25,4,-1.549999237,-1,,
14,56.2,5,-6.049999237,1,,
15,55.75,4,-0.450000763,-1,1,
16,53.5,4,-2.25,0,,1
17,54.857143,7,1.357143402,3,,
18,52.75,4,-2.107143402,-3,,
19,54,7,1.25,3,,
20,53,5,-1,-2,,
21,56,5,3,0,,
22,59,5,3,0,,
23,61.4,5,2.400001526,0,,
24,64.25,4,2.849998474,-1,,
25,65.666664,6,1.416664124,2,,
26,66.666664,6,1,0,,
27,70.75,4,4.083335876,-2,1,
28,60,9,-10.75,5,,1
29,64.3,10,4.300003052,1,,
30,59.875,8,-4.425003052,-2,,
31,60.857143,7,0.982143402,-1,,
32,60.444443,9,-0.412700653,2,,
33,64.7,10,4.255554199,1,,
34,59.375,8,-5.324996948,-2,,
35,60.285713,7,0.910713196,-1,,
36,59.77778,9,-0.50793457,2,,
37,62.9,10,3.1222229,1,,
38,59.375,8,-3.525001526,-2,,
39,60,7,0.625,-1,,
40,59.333332,9,-0.666667938,2,,
41,62.2,10,2.866668701,1,,
42,56.666668,6,-5.533332825,-4,,
43,56.5,4,-0.166667938,-2,1,
44,60.75,4,4.25,0,,1
45,61.5,8,0.75,4,,
46,61.5,4,0,-4,,
47,60.25,4,-1.25,0,,
48,59.5,4,-0.75,0,,
49,58.75,4,-0.75,0,,
50,60.75,4,2,0,,
52,60.75,8,0,4,,
53,60.75,8,0,0,,
54,58.75,4,-2,-4,,
55,60.333332,3,1.583332062,-1,,
56,62.25,8,1.916667938,5,,
57,62.25,8,0,0,,
58,62.25,4,0,-4,,
59,60.75,4,-1.5,0,,
