Musician,sub,scramble,16,8,5,4,3,2,1
Yes,7,2B,-0.044579186,-0.065386183,-0.080037136,-0.086976228,-0.094208624,-0.002545301,0.026288235
Yes,7,1B,-0.050773839,-0.077489063,-0.007172414,-0.034196758,0.004349494,-0.044634126,0.028644525
No,7,Intact,0.085034843,0.022282318,-0.050127074,-0.012685126,-0.051592073,-0.034563011,-0.004968687
No,7,8B,-0.035073634,-0.052665423,-0.055641322,-0.056647109,0.035847176,-0.063971104,0.018213193
No,7,2B,-0.03076494,-0.043274744,-0.044596364,0.052120366,0.027319659,0.007674981,0.006836769
No,7,1B,-0.04,0.118833333,-0.05375,0.0407,0.015538462,-0.008833333,-0.012914286
Yes,8,Intact,0.260453348,0.096804588,0.050570658,-0.040140444,0.037682386,0.0214187,0.047548925
Yes,8,8B,0.198500233,0.197530285,-0.02601317,0.085066154,-0.011391401,0.069419111,-0.048574354
Yes,8,2B,0.07929612,0.114021839,0.058701931,0.091818597,0.034619417,0.22786055,0.116148786
Yes,8,1B,0.063805308,0.008504228,-0.04309625,0.010743321,0.079245737,-0.017763334,0.010856219
No,8,Intact,0.224186141,0.427822004,0.331493852,0.306977994,0.168548949,0.325190459,0.284546434
No,8,8B,-0.007243902,-0.036802461,-0.01018027,-0.077127607,0.112047538,-0.045390397,0.178170175
No,8,2B,-0.006246459,0.002354705,0.009105595,0.122575503,0.064122016,0.156422046,0.125225108
No,8,1B,-0.044938776,-0.053903683,0.058596298,0.146572913,-0.009200247,0.1099787,0.135414196
Yes,9,Intact,0.119555575,0.026827907,-0.03623602,-0.020925418,-0.098271682,0.054378995,0.014849243
Yes,9,8B,-0.041059619,-0.058360366,-0.066665455,0.011377129,-0.078009913,-0.023924036,-0.027435826
Yes,9,2B,0.15286493,0.182005597,0.020929552,0.071340884,0.01716438,0.090856386,0.068568331
Yes,9,1B,-0.0375,-0.049166667,0.066625,-0.0569,0.017307692,-0.009277778,-0.011885714
No,9,Intact,-0.028285714,-0.033846154,-0.032947368,-0.03568,0.085757576,0.045918367,0.024484848
No,9,8B,-0.021333333,-0.0276,-0.035428571,-0.034222222,-0.033818182,-0.035176471,-0.035515152
No,9,2B,-0.0428,-0.062857143,-0.07,-0.081454545,-0.080615385,-0.087684211,-0.098685714
No,9,1B,-0.022666667,-0.0292,-0.028,-0.029777778,-0.031833333,-0.032588235,-0.035470588
Yes,10,Intact,0.07549389,0.101915866,-0.063110207,-0.019931223,0.021448843,-0.025092649,-0.011495222
Yes,10,8B,0.3576,0.472116609,-0.074888889,0.268815915,-0.08535217,0.170473684,0.070124299
Yes,10,2B,0.036309005,0.061241585,-0.116823093,0.17557753,-0.092419868,0.030687415,-0.010177531
Yes,10,1B,-0.052585139,0.027147523,0.079074135,0.109153838,-0.005396288,0.04730605,0.014830681
No,10,Intact,-0.09389554,-0.126053896,-0.101213203,-0.155633299,-0.00430324,-0.131500658,-0.066013041
No,10,8B,0.088095661,0.256586697,0.142583858,0.077886793,-0.058031496,0.091355996,0.119902045
No,10,2B,-0.041280429,0.187267881,0.136436183,0.13693161,0.221368142,0.165917352,0.080325129
No,10,1B,-0.095184185,-0.139595486,-0.063396697,-0.203298054,-0.149033073,-0.236581776,-0.185729114
Yes,11,Intact,0.071625,0.005571429,-0.01445,-0.027038462,-0.072029412,-0.03012,-0.01229
